Kalenderwoche,B.1.1.7 (Alpha),B.1.351 (Beta),P.1 (Gamma),B.1.617.2 (Delta),B.1.1.529 (Omikron),Fälle gesamt
2021-W01,93,4,0,10,0,14634
2021-W02,298,53,0,13,0,10947
2021-W03,446,133,0,21,0,10163
2021-W04,958,99,0,145,0,9512
2021-W05,1946,74,0,300,0,9118
2021-W06,1883,19,0,326,0,9457
2021-W07,3525,20,0,264,0,11631
2021-W08,7495,87,0,344,0,14191
2021-W09,9477,82,0,173,0,16321
2021-W10,11302,99,1,83,0,18226
2021-W11,12795,77,2,80,0,21092
2021-W12,12305,60,1,107,0,22326
2021-W13,10865,19,0,70,0,20791
2021-W14,7965,17,1,36,0,17617
2021-W15,8133,26,2,42,0,16822
2021-W16,8225,24,6,42,0,15050
2021-W17,7430,6,12,20,0,12538
2021-W18,4976,1,22,17,0,9021
2021-W19,3268,0,10,17,0,5737
2021-W20,2249,5,5,14,0,4155
2021-W21,1470,3,8,26,0,3160
2021-W22,1198,4,9,66,0,2425
2021-W23,875,0,3,197,0,1685
2021-W24,419,0,0,316,0,1002
2021-W25,202,0,1,281,0,679
2021-W26,111,0,1,359,0,633
2021-W27,87,0,2,755,0,1093
2021-W28,73,1,1,1705,0,2192
2021-W29,30,0,1,2018,0,2532
2021-W30,14,0,3,2547,0,3251
2021-W31,22,0,1,2800,0,3667
2021-W32,4,1,1,4565,0,5900
2021-W33,5,0,0,6036,0,8063
2021-W34,3,0,0,7195,0,9436
2021-W35,2,1,1,8377,0,11306
2021-W36,3,0,2,9940,0,14060
2021-W37,2,0,0,8837,0,13748
2021-W38,0,0,0,7670,0,11762
2021-W39,1,0,0,7714,0,12596
2021-W40,1,0,0,7508,0,12782
2021-W41,1,0,0,9117,0,15361
2021-W42,0,0,0,14247,0,23858
2021-W43,1,0,0,20782,0,34575
2021-W44,1,0,0,23400,0,56501
2021-W45,6,0,0,26679,0,78828
2021-W46,0,0,0,12486,0,97342
2021-W47,0,0,0,12685,14,82699
2021-W48,5,0,0,15118,40,50912
2021-W49,4,0,0,10716,60,29339
2021-W50,0,0,0,7845,401,18871
2021-W51,0,0,0,6027,1986,14658
2021-W52,1,0,0,3629,5568,23268
NA,120175,915,96,243767,8069,917533
